cms theme dates:
2001 to 2002-03-15 2002_v1
2002-03-16 to 2002-12-31 2002_v2
2003-01-01 to 2003-06-28  2003_v1
2003-06-29 to 2004-03-25 2003_v2
2004-03-26 to 2004-10-20 2004
2004-10-21 to 2005-03-23 2005_v1
2005-03-24 to 2006-01-10 2005_v2
2006-01-11 to 2006-09-15 2006_v1
2006-09-16 to 2006-12-15 2006_v2
2006-12-16 to 2007-03-23 2007_v1
2007-03-24 to 2008-03-09 2007_v2
2008-03-10 to 2009-11-31 2008
2009-12-01 to 2010-04-26 2009
2010-04-27 to 2010-07-27 2010
2010-07-28 to 2012-08-14 2011
2012-08-15 to 2014-09-22 2012

forum theme dates:
2001-12-01 to 2002-06-03 2002_v1
2002-06-04 to 2002-12-31 2002_v2
2003-01-01 to 2003-06-15 2003_v1
2003-06-16 to 2003-09-15 2003_v2
2003-09-16 to 2008-06-15 2004
2008-06-16 to 2010-04-15 2008
2010-04-16 to 2017-01-01 2011
